modzcta,borough,neighborhood
10309,Staten Island,Rossville / Charleston / Prince's Bay
10310,Staten Island,Port Richmond / West Brighton
10311,Staten Island,Travis-Chelsea
10312,Staten Island,Annadale / Eltingville / Arden Heights
10314,Staten Island,Travis-Chelsea / Bloomfield / Bull's Head / New Springville / Graniteville / Westerleigh / Mid Island / Castleton Crnrs
10451,Bronx,Mott Haven
10452,Bronx,Highbridge / Concourse / Mount Eden
10453,Bronx,Morris Hts / University Hts
10454,Bronx,Mott Haven / Port Morris
10455,Bronx,St. Mary's Park
10456,Bronx,Morrisania
10457,Bronx,West Bronx / Belmont / Mount Hope / Claremont / Crotona Park
10458,Bronx,Fordham / Fordham Hts / Fordham Manor / Little Italy / NY Botantical Gardens
10459,Bronx,Longwood
10460,Bronx,Crotona / Crotona Park East / West Farms / Van Nest
10461,Bronx,Morris Park / Westchester Sq / Pelham Bay
10462,Bronx,Parkchester / Pelham Parkway
10463,Bronx,Kingsbridge / Spuyten Duyvil / Van Cortlandt Village
10464,Bronx,City Island / Pelham Bay Park
10465,Bronx,Throgs Neck
10466,Bronx,Wakefield / Edenwald
10467,Bronx,Norwood / Olinville / Parkside Houses / Allerton
10468,Bronx,Kingsbridge Heights / Jerome Park
10469,Bronx,Williamsbridge / East Bronx / Allerton / Baychester
10470,Bronx,Woodlawn
10471,Bronx,Riverdale
10472,Bronx,Soundview
10473,Bronx,Clason Point / Castle Hill
10474,Bronx,Hunts Point
10475,Bronx,Co-op City
11004,Queens,Glen Oaks
11101,Queens,LIC-Hunters Point / Dutch Kills / Queensbridge / Astoria
11102,Queens,Astoria (Western Queens) / Hallets Point
11103,Queens,Astoria BID / Steinway St (B'way - Grand Central Pkwy & Low 30 Avs - 40 Sts)
11104,Queens,Sunnyside
11105,Queens,Astoria Park / Ditmars
11106,Queens,Astoria / Ravenswood (Low 20 Sts - High 30 Avs)
11109,Queens,Long Is City (Gantry State Pk/CityLights)
11201,Brooklyn,DUMBO / Vinegar Hill / Dtwn Bklyn / Bklyn Hts / MetroTech
11203,Brooklyn,East Flatbush
11204,Brooklyn,Bensonhurst
11205,Brooklyn,Clinton Hill
11206,Brooklyn,Broadway Triangle / Sumner Houses
11207,Brooklyn,New Lots / Broadway Junction
11208,Brooklyn,East New York / Cypress Hills
11209,Brooklyn,Bay Ridge
11210,Brooklyn,South Midwood / East Midwood
11211,Brooklyn,Williamsburg / South Williamsburg / East Williamsburg
11212,Brooklyn,Brownsville
11213,Brooklyn,Crown Heights
11214,Brooklyn,Bath Beach
11215,Brooklyn,Park Slope / Gowanus
11216,Brooklyn,Bedford-Stuyvesant / Crown Hts
11217,Brooklyn,Boerum Hill
11218,Brooklyn,Kensington / Windsor Terrace
11219,Brooklyn,Borough Park
11220,Brooklyn,Sunset Park
11221,Brooklyn,Bedford-Stuyvesant / Bushwick
11222,Brooklyn,Greenpoint
11223,Brooklyn,Gravesend
11224,Brooklyn,Coney Island
11225,Brooklyn,Prospect-Lefferts Gardens
11226,Brooklyn,Flatbush / Prospect Park South
11228,Brooklyn,Dyker Heights
11229,Brooklyn,Homecrest / Sheepshead Bay / Gerritsen Beach
11230,Brooklyn,Midwood
11231,Brooklyn,Red Hook / Carroll Gardens
11232,Brooklyn,Industry City
11233,Brooklyn,Weeksville
11234,Brooklyn,Flatlands / Mill Basin / Floyd Bennett Field
11235,Brooklyn,Brighton Bch / Manhattan Bch / Sheepshead Bay
11236,Brooklyn,Canarsie
11237,Brooklyn,Bushwick
11238,Brooklyn,Prospect Heights
11239,Brooklyn,Starrett City / Spring Creek
11241,Brooklyn,Borough Hall
11242,Brooklyn,Borough Hall
11243,Brooklyn,Atlantic Terminal
11249,Brooklyn,Williamsburg
11252,Brooklyn,Fort Hamilton
11256,Brooklyn,Lindenwood
11351,Queens,USPS Queens Processing & Distribution Ctr - College Point
11354,Queens,Dtwn Flushing / Flushing / Linden Hill
11355,Queens,Flushing / Kissena Park
11356,Queens,College Point
11357,Queens,Whitestone / Malba / Beechhurst / Clearview
11358,Queens,Murray Hill / Broadway-Flushing / Auburndale
11359,Queens,Fort Totten
11360,Queens,Bay Terrace
11361,Queens,Bayside
11362,Queens,Douglaston
11363,Queens,Little Neck
11364,Queens,Oakland Gardens
11365,Queens,Utopia - Pomonok
11366,Queens,Fresh Meadows
11367,Queens,Kew Gardens Hills
11368,Queens,Corona / Willets Point
11369,Queens,East Elmhurst
11370,Queens,Astoria Heights / Jackson Heights
11371,Queens,LaGuardia Airport
11372,Queens,Jackson Heights
11373,Queens,Elmhurst
11374,Queens,Rego Park
11375,Queens,Forest Hills
11377,Queens,Woodside
11378,Queens,Maspeth
11379,Queens,Middle Village
11385,Queens,Ridgewood / Glendale
11411,Queens,Cambria Heights
11412,Queens,St. Albans
11413,Queens,Laurelton
11414,Queens,Howard Beach
11415,Queens,Kew Gardens
11416,Queens,Ozone Park (101 Av / Rockaway Blvd)
11417,Queens,Ozone Park
11418,Queens,Richmond Hill
11419,Queens,South Richmond Hill
11420,Queens,South Ozone Park
11421,Queens,Woodhaven
11422,Queens,Rosedale
11423,Queens,Hollis
11426,Queens,Floral Park
11427,Queens,Hollis Hills
11428,Queens,Queens Village / Jamaica Av
11429,Queens,Queens Village
11430,Queens,JFK Airport
11432,Queens,Jamaica Hills / Jamaica Estates
11433,Queens,Jamaica
11434,Queens,South Jamaica / Rochdale / Springfield Gdns / Addisleigh Pk
11435,Queens,Briarwood
11436,Queens,S Ozone Park / S Jamaica (Linden/Sutphin Bls & Belt Pkwy/Van Wyck Expwy)
11691,Queens,Far Rockaway / Edgemere / Bayswater
11692,Queens,Arverne
11693,Queens,Broad Channel / Rockaway Beach
11694,Queens,Belle Harbor / Rockaway Park
11697,Queens,Breezy Point
